Genes	Diseases	Mutations	Chemicals	Species	PMID
	death>MESH:D003643,cardiomyopathy>MESH:D009202				30682360
			MSM>MESH:C093780	people>9606,men>9606,participants>9606	30680571
CEBPA>1050,MLL1>4297,C/EBPalpha>1050,p30>201161,histone-methyltransferase>56979,GATA2>2624	leukemia>MESH:D007938,acute myeloid leukemia>MESH:D015470,AML>MESH:D015470,proliferation arrest>MESH:D006323		N>MESH:D009584	patients>9606,mouse>10090,human>9606	30679799
	diabetes>MESH:D003920,heart failure>MESH:D006333,hypertension>MESH:D006973,hyperlipidemia>MESH:D006949			patient>9606,person>9606	30676355
	tumor>MESH:D009369,colorectal cancer>MESH:D015179,Colorectal cancer>MESH:D015179			patients>9606	30675194
	cancer>MESH:D009369			patients>9606	30671672
EGFR>1956,PTG12>153527	cancer>MESH:D009369,tumors>MESH:D009369,breast cancer>MESH:D001943,epithelial tumors>MESH:D002277,tumor>MESH:D009369		GDC-0941>MESH:C532162	patient>9606	30670492
				patients>9606	30670011
brachyury>6899,CDK7>1022,CDK9>1025	brachyury transcription factor addiction in chordoma>OMIM:602482,Chordoma>MESH:D002817,bone cancer>MESH:D001859,chordoma tumors2>MESH:D002817,chordoma dependencies>MESH:D002817,developmental transcription factor T>OMIM:602482,chordoma>MESH:D002817,cancer>MESH:D009369,tumor>MESH:D009369,brachyury transcription factor addiction>OMIM:602482,cancers>MESH:D009369				30664779
	cancer>MESH:D009369,tumoral>MESH:D009369,tumor>MESH:D009369			Human>9606	30661654
	Molecular>MESH:D030342,Lung Cancer>MESH:D008175,cancer>MESH:D009369,tumors>MESH:D009369,lung cancers>MESH:D008175,lung cancer>MESH:D008175			Patients>9606,patients>9606	30660796
	infection>MESH:D007239,sepsis>MESH:D018805,MDRB infection>MESH:D007239,bacterial sepsis>MESH:D018805			patients>9606,patient>9606	30659311
KRAS>3845,NRAS>4893	cancer>MESH:D009369,Cancer>MESH:D009369			patients>9606	30658646
	lung cancer>MESH:D008175,lung tumors>MESH:D008175,cancer>MESH:D009369			patients>9606	30658453
ALK>238,Anaplastic lymphoma kinase>238,miR-21-5p>406997,MEG3>55384,XIST>7503,EML4>27436	Lung Adenocarcinoma>MESH:C538231,lung adenocarcinoma>MESH:C538231,tumour>MESH:D009369,cancer>MESH:D009369		tyrosine>No Data	patients>9606	30658414
ABL>11350,SCGB1A1>7356,SPC>5541,Abl1>25,Abl>11350	pneumonia>MESH:D011014,respiratory infections>MESH:D012141			mice>10090	30655340
	granulosa cell tumor>MESH:D006106,Ovarian cancer>MESH:D010051,cancer>MESH:D009369		imatinib>MESH:C097613	woman>9606,patient>9606	30655270
	myocardial infarction>MESH:D009203,ischaemia>MESH:D007511,diabetes mellitus>MESH:D003920,hypertension>MESH:D006973			patients>9606,Patients>9606	30655225
				patient>9606	30654898
EGFR>1956,BRAF>673,ALK>238,ROS1>6098,ERBB2>2064,HER2>2064,RET>5979,TP53>7157,KEAP1>9817,STK11>6794	NSCLC>MESH:D002289,non-small cell lung cancer>MESH:D002289		Tyrosine>No Data,formalin>MESH:D005557,paraffin>MESH:D010232,MET>MESH:C098756	patients>9606,patient>9606	30653256
	cancer>MESH:D009369		PRO>MESH:C098830	Patient>9606,patients>9606,patient>9606	30652587
	Cancer>MESH:D009369,cancer>MESH:D009369			Patients>9606,patients>9606	30652575
luteinizing hormone releasing hormone>2796,LHRH>2796	prostate cancer>MESH:D011471		androgens>MESH:D000728		30649971
	tumors>MESH:D009369,tumor>MESH:D009369				30649720
	meningioma>MESH:D008579,meningiomas>MESH:D008579,HRQoL in meningiomas>MESH:D008579,intracranial meningioma>MESH:D008579,CMD>MESH:C565145,impairments>MESH:D008569,Meningioma>MESH:D008579,fatigue and sleep/insomnia>MESH:D005221,fatigue>MESH:D005221,sleep impairment>MESH:D012893			patients>9606,Patients>9606	30649488
	BD Onclarity human papillomavirus>MESH:D001528,cervical intraepithelial neoplasia>MESH:D018290,intraepithelial lesions or malignancies>MESH:D065310			HPV>10566,Women>9606,women>9606,patients>9606,HPV 16>333760	30649177
	disabilities>MESH:D009069			women>9606,people>9606,persons>9606	30649021
PARP>142,Poly ADP ribose polymerase>142,XIAP>331	breast cancer>MESH:D001943,aggressive breast cancer>MESH:D001943,cancers>MESH:D009369,tumors>MESH:D009369,tumor>MESH:D009369,BRCA deficient cancer>MESH:D001943		embelin>MESH:C010945	Patients>9606,patients>9606,nude mice>10090	30647872
BRCA1/2>675;672,BRCA1>672,BRCA2>675,March 1>55016	cancer>MESH:D009369,cancers>MESH:D009369,Syndromic cancer>MESH:D009369,breast cancer>MESH:D001943,Ovarian cancer>MESH:D010051			Participants>9606,patients>9606,women>9606,men>9606,participants>9606	30646163
	liver tumor>MESH:D008113,tumor>MESH:D009369,liver tumors>MESH:D008113		formalin>MESH:D005557	patients>9606	30645782
	infection>MESH:D007239,dementia>MESH:D003704,Dementia>MESH:D003704,cognitive decline>MESH:D003072			people>9606,person>9606	30645599
	tumor>MESH:D009369,Cancer>MESH:D009369,death>MESH:D003643,actual tumors>MESH:D009369				30644496
			EPA>MESH:C062422	person>9606	30643599
	Labor Occupational Safety>MESH:D009784			OSHA>54719	30642424
nucleophosmin-1>4869,NPM1>4869	lymphoblastic leukemia>MESH:D054198,hematological malignancy>MESH:D019337,acute myeloid leukemia>MESH:D015470			patients>9606,patient>9606	30641417
	Neurotrophic tropomyosin>MESH:D009133,neurotrophic tropomyosin>MESH:D009133,array of tumours>MESH:D009369,tumours>MESH:D009369,carcinoma>MESH:D002277,breast secretory carcinoma>MESH:D001943,infantile fibrosarcoma>MESH:D005354,congenital mesoblastic nephroma>MESH:D018201		tyrosine>No Data		30636697
TRN>7214	Turner syndrome>MESH:D014424,rare disorder>MESH:D035583			patient>9606,human>9606,participants>9606	30633444
				Phytophthora tentaculata>129362,Diplacus aurantiacus>68869,P. tentaculata>129362,P. cactorum>29920,P. cryptogea>4786,P. cambivora>53983,P. cinnamomi>4785,P. citricola>53984,P. hedraiandra>295481,P. megasperma>4788,P. multivora>596104,P. nicotianae>4790,P. niederhauserii>266018,P. parvispora>355857,P. pini>4923,P. plurivora>531293,P. riparia>75009,Mexican orange>416188,Choisya ternata>416188	30632470
	Colorectal Cancer>MESH:D015179,colorectal cancer>MESH:D015179,tumor>MESH:D009369,cancer>MESH:D009369,obese>MESH:D009765,obesity>MESH:D009765			Patients>9606,patient>9606,Mayo>162683,patients>9606	30631753
	chronic disease>MESH:D002908,rheumatic heart disease>MESH:D012214,pharyngitis>MESH:D010612,skin infections>MESH:D012871				30624673
	tumour>MESH:D009369,cancer>MESH:D009369,melanoma>MESH:D008545			patient>9606	30624446
				women>9606	30622112
zip>1613	cancer>MESH:D009369			Patient>9606,patients>9606,patient>9606,outpatient>9606	30620675
BRCA2>675,ERBB2>2064,ELF3>1999,ATM>472,RAD50>10111,MUTYH>4595,KRAS>3845,MDM2>4193,PIK3CA>5290	cancer>MESH:D009369,Ampullary carcinoma>MESH:D002277,gastrointestinal cancer>MESH:D005770,tumors>MESH:D009369		SAs>MESH:C487107	patients>9606	30620386
CTNNB1>1499	hepatocellular carcinoma>MESH:D006528,tumors>MESH:D009369				30617138
BRAF>673,NTRK1>4914,KRAS>3845,paxillin>5829,EGFR>1956	lung cancer>MESH:D008175,cancer>MESH:D009369,non-small cell lung cancer>MESH:D002289				30615123
	Hypoxia>MESH:D000860,hereditary kidney cancers>MESH:D009386,hereditary kidney cancer>MESH:D009386,cancer>MESH:D009369,hereditary syndromes>MESH:D061325,hypoxia>MESH:D000860,von Hippel-Lindau (VHL) tumor>MESH:D006623,pseudohypoxia>No Data,hereditary renal tumor syndrome>MESH:D009386,hereditary leiomyomatosis and renal cell carcinoma>MESH:C535516,renal tumor>MESH:D007680,tumor>MESH:D009369,cancers>MESH:D009369,kidney cancer>MESH:D007680		glutamine>MESH:C578860	human>9606	30614813
	CMS>MESH:C536089		CHIP>MESH:C048067	patients>9606,Patient>9606,patient>9606	30610143
	nGS>No Data,impacts of nGS>MESH:D014095,recessive diseases>MESH:D030342			infants>9606,infant>9606	30609409
			methicillin>MESH:D008712	patient>9606,Staphylococcus aureus>1280	30608486
	heart failure>MESH:D006333			patients>9606,patient>9606	30608465
	drug-allergy>MESH:D004342,implementation ambiguity>MESH:D012734		deoxyribonucleic acid>MESH:D000596	patient>9606,Human>9606	30605914
	tumor malignancies>MESH:D009369,tumors>MESH:D009369,adenocarcinoma- and sarcoma-positive>MESH:D000230,tumor purities>MESH:D009369,cancer>MESH:D009369		Formalin>MESH:D005557,Paraffin>MESH:D010232,formalin>MESH:D005557,paraffin>MESH:D010232,Hi-C>MESH:C471213	patient>9606	30605765
	breast cancer>MESH:D001943,Breast cancer>MESH:D001943,cancer>MESH:D009369			patients>9606,Human>9606	30604156
				participants>9606,Participants>9606	30601978
	diabetes>MESH:D003920			patient>9606,Patient>9606,patients>9606	30600545
	colorectal cancer>MESH:D015179,CRC>MESH:D015179			patients>9606	30600322
				children>9606,child>9606	30600270
	inflammatory demyelinating polyneuropathy>MESH:D020277			patient>9606	30597419
	MPS>MESH:D009084			patient>9606	30596271
AKT>207,mTOR>2475	cancer>MESH:D009369,ovarian cancer>MESH:D010051,serous ovarian cancer>MESH:D010051,tumours>MESH:D009369,cancer hallmarks>MESH:D009369			patient>9606,human>9606	30594550
	deep learning's denoising autoencoders>MESH:D007859				30594159
				patients>9606	30592548
				patient>9606	30590975
	cancer>MESH:D009369				30588549
	Vomiting>MESH:D014839,Craniofacial Malformations>MESH:D019465,craniofacial malformations>MESH:D019465,vomiting>MESH:D014839,intraventricular hemorrhage>MESH:D006470			Children>9606,children>9606	30587011
	Kidney Disease>MESH:D007674,chronic kidney disease>MESH:D051436,congenital or cystic renal disease>MESH:D052177,nephropathy>MESH:D007674			persons>9606,patients>9606,patient>9606	30586318
TP53>7157,TET2>54790,DNMT3A>1788,PD1>5133,PDL1>29126	Hematologic Malignancies>MESH:D019337,hematologic malignancies>MESH:D019337,myelodysplastic syndrome>MESH:D009190,chronic lymphocytic leukemia>MESH:D015451,Hodgkin lymphoma>MESH:D006689,acute myeloid leukemia>MESH:D015470,myeloproliferative neoplasm>MESH:D009196,acute lymphoblastic leukemia>MESH:D054198,multiple myeloma>MESH:D009101,tumor>MESH:D009369,tumors>MESH:D009369		TMB>MESH:D014289	patients>9606	30583461
				patients>9606,participants>9606	30580287
CALR>811,CSF3R>1441,JAK2>3717,KRAS>3845,MPL>4352,NPM1>4869,NRAS>4893,SF3B1>23451,IDH1>3417,IDH2>3418	labor>MESH:D048949,aggressive diseases>MESH:D001523,acute myeloid leukemia>MESH:D015470,hematologic malignancies>MESH:D019337			patients>9606	30577887
JAK2>3717,PD-L1>29126,PD-L2>80380	Breast Cancer>MESH:D001943,breast cancer>MESH:D001943,tumor>MESH:D009369				30576871
	cancer>MESH:D009369			patient>9606	30576515
	tumour>MESH:D009369,primary brain tumours>MESH:D001932,metastases>MESH:D009362,brain tumours>MESH:D001932,extra-cranial tumours>MESH:D003390,brain cancer>MESH:D001932			patients>9606	30576421
	Personalized Stroke>MESH:D020521,Stroke>MESH:D020521,stroke>MESH:D020521			Patient>9606,patient>9606,patients>9606	30574543
CD38>952,caveolin-1>857,AhR>196,SLP76>3937,RXRalpha>6256,p47phox>653361	AML>MESH:D015470,promyelotic leukemia>MESH:D007938,myelocytic leukemia>MESH:D007951		Retinoic acid>MESH:D014212,6-formylindolo(3,2-b)carbazole>MESH:C111855,FICZ>MESH:C111855,all-trans-retinoic acid>MESH:D014212	patient>9606	30570341
				Patient>9606,patient>9606	30569739
Hoxa1>15394,E2F1>13555,p53>22060,MYC>17869,p53>397926,MYC>399315,E2F1>100036852	annotation>No Data,analytic functionalities>MESH:D013959			mouse>10090	30567491
	Heart Disease>MESH:D006331,coronary heart disease>MESH:D003327,CHD>No Data,atherosclerotic cardiovascular disease>MESH:D050197				30567402
				human>9606,Neanderthal>63221	30566479
	Trauma>MESH:D014947,trauma>MESH:D014947,psychosocial>MESH:C535569,pain>MESH:D010146,depression>MESH:D003866,posttraumatic stress disorder>MESH:D013313,alcohol abuse>MESH:D000437			patient>9606,Participants>9606,patients>9606,tobacco>4097,participants>9606,women>9606,men>9606	30566192
	Cancers>MESH:D009369,cancers>MESH:D009369,cancer>MESH:D009369,HPV-positive tumors>MESH:D009369,carcinogenesis>MESH:D063646			HPV>10566,human papillomavirus>10566	30563114
	musculoskeletal conditions>MESH:D009140,musculoskeletal>MESH:D009140,Musculoskeletal>MESH:D009140,osteoarthritis>MESH:D010003,rheumatoid arthritis>MESH:D001172,osteoporosis>MESH:D010024,back pain>MESH:D001416			patients>9606,participants>9606	30559158
				patient>9606	30555929
	BCID implementation>No Data			Mayo>162683,patients>9606	30555850
	Sarcoma>MESH:D012509,advanced soft tissue sarcoma>MESH:D012509,sarcoma increases>MESH:D012509		doxorubicin>MESH:D004317,dacarbazine>MESH:D003606,ifosfamide>MESH:D007069,anthracycline>MESH:D018943	patient>9606,patients>9606	30554197
	Chronic Disease>MESH:D002908,chronic disease>MESH:D002908				30553801
	toolkit garnered enthusiasm>MESH:C537906		PCC>MESH:C025667	patient>9606	30553576
				Patient>9606,patient>9606,patients>9606,Patients>9606	30552599
	mHealth implementers>No Data			people>9606,children>9606	30552079
	oesophageal cancer>MESH:D009369,Oesophageal squamous cell carcinoma>MESH:D002294,adenocarcinoma>MESH:D000230,squamous cell cancers>MESH:D018307,tumour>MESH:D009369,tumours>MESH:D009369,cancer>MESH:D009369				30551862
PIK3CA>5290,Akt>207,mTOR>2475	Cancer>MESH:D009369,prostate cancer>MESH:D011471,breast cancer>MESH:D001943,pancreatic adenocarcinoma>MESH:D010195,myelogenous leukemia>MESH:D007951,solid tumor>MESH:D009369,tumor>MESH:D009369			patient>9606,patients>9606,Patients>9606	30551737
	cancer>MESH:D009369,tumor>MESH:D009369,cancers>MESH:D009369,tumors>MESH:D009369,Pediatric tumors>MESH:D063766,leukemia>MESH:D007938,solid tumors>MESH:D009369			patients>9606	30551569
	Thoracic Inflammatory Myofibroblastic Tumors>MESH:D013899,inflammatory myofibroblastic tumors>MESH:D009369,lymphoma>MESH:D008223,abnormalities>MESH:D002869,tumors>MESH:D009369,ALK abnormalities>MESH:D002869		tyrosine>No Data,TMP4>MESH:D013938	patients>9606,children>9606	30550870
programmed death-1>5133,PD-L1>29126,PD-1>5133,PDi>5034,KRAS>24525,KRAS>3845	non-small cell lung cancer>MESH:D002289,NSCLC>MESH:D002289,PD-L1 tumor>MESH:C536029,sarcoma>MESH:D012509			patients>9606,rat>10116	30548240
	tumor>MESH:D009369,hematologic neoplasias>MESH:D006402,cancer>MESH:D009369,breast cancer>MESH:D001943				30545954
	countries>No Data,altruism>No Data			patients>9606,Patients>9606	30545807
	HIV and HCV infection>MESH:D006526,OAT implementation>MESH:D015799		heroin>MESH:D003932,fentanyl>MESH:D005283,methadone>MESH:D008691,buprenorphine>MESH:D002047	patients>9606,patient>9606	30545409
	cancer>MESH:D009369,tumor>MESH:D009369			patients>9606	30542800
	Sarcoma>MESH:D012509,sarcomas>MESH:D012509,cancer>MESH:D009369,sarcoma>MESH:D012509,advanced disease>MESH:D020178,NGS implementation>No Data,tumor>MESH:D009369			children>9606,patients>9606,patient>9606	30523434
	cancers>MESH:D009369,tumor>MESH:D009369,cancer>MESH:D009369,endometrial cancer>MESH:D016889,pancreatic cancer>MESH:D010190,colorectal cancer>MESH:D015179,tumors>MESH:D009369			patients>9606,patient>9606	30541038
ASCL1>429,NDRG1>10397,Achaete-scute homolog 1>429,N-Myc downstream-regulated gene 1>10397	glioblastoma>MESH:D005909,cancer>MESH:D009369				30538287
GNAQ>2776	Choroidal Hemangiomas>MESH:D006391,syndromic and nonsyndromic>MESH:C580334,melanocytic ocular neoplasms>MESH:D009508,Sturge-Weber syndrome>MESH:D013341,choroidal hemangiomas>MESH:D006391,choroidal hemangioma>MESH:D006391,solitary choroidal hemangioma>MESH:D006391,choroidal nevus>MESH:D009506,cancer>MESH:D009369,tumors>MESH:D009369,hemangiomas>MESH:D006391,vascular malformations>MESH:D054079,intraocular melanocytic neoplasms>MESH:D064090		formalin>MESH:D005557,paraffin>MESH:D010232	PARTICIPANTS>9606,patients>9606	30537484
	cancer>MESH:D009369,myelodysplastic syndrome>MESH:D009190,GI cancer>MESH:D009369			Patients>9606,Outpatient>9606,patients>9606,outpatient>9606,patient>9606	30537456
				patient>9606,patients>9606	30535751
EGFR>1956,ALK>238,ROS1>6098	advance-stage lung adenocarcinomas>MESH:C538231,insufficient tumor>MESH:D007018,tumor>MESH:D009369,advanced-stage lung adenocarcinomas>MESH:C538231,lung cancer>MESH:D008175,pulmonary adenocarcinomas>MESH:D000230,lung cancers>MESH:D008175			patients>9606,PATIENTS>9606,Redwood>28980,Patients>9606	30535340
insulin>3630	diabetes>MESH:D003920,diabetes mellitus>MESH:D003920,diabetes complication>MESH:D003925		glucose>MESH:D005947	people>9606,participants>9606,Participants>9606,patients>9606	30532235
	pain>MESH:D010146				30531221
	voiding cystourethrograms>MESH:C537271			Patients>9606,children>9606,child>9606	30527482
	asthma>MESH:D001249		corticosteroids>MESH:D000305	Patient>9606,patients>9606,patient>9606	30526975
BRCA1>672	Hereditary Breast Cancer>MESH:D001943,breast and ovarian cancers>MESH:D061325,breast carcinoma>MESH:D001943,Cancer>MESH:D009369,breast cancer>MESH:D001943,cancer>MESH:D009369			patients>9606,patient>9606	30526229
Por>5447	hyperlipidemia>MESH:D006949,colon polyps>MESH:D003111			Patients>9606,patients>9606,participants>9606,Participants>9606,person>9606	30522109
ERBB2>2064,HER2>2064,estrogen receptor>2099,ER>2099	breast cancer>MESH:D001943,invasive lobular breast cancer>MESH:D001943,tumors>MESH:D009369,metastases>MESH:D009362			patients>9606	30520184
	amenorrhea>MESH:D000568,lactational amenorrhea>MESH:D000568		contraceptives>MESH:D003270	women>9606,girls>9606,men>9606,Child>9606,children>9606,child>9606	30519124
	branch leadership>MESH:D015356				30518992
	tumor>MESH:D009369,cancer>MESH:D009369,tumors>MESH:D009369		TSA>MESH:C070842	murine>10090,human>9606,mice>10090,humans>9606	30518613
	genome abnormalities>MESH:D042822,WGS>No Data				30506203
	diabetes>MESH:D003920,depression>MESH:D003866		TSA>MESH:C070842	Patients>9606,patients>9606,patient>9606,women>9606	30516628
TP53>7157,EGFR>1956	non-small-cell lung cancer>MESH:D002289,malignancies>MESH:D009369,NSCLC>MESH:D002289,tumor>MESH:D009369,cancer>MESH:D009369,adenocarcinoma>MESH:D000230,squamous cell carcinoma>MESH:D002294			patients>9606	30514790
				human>9606	30514336
HER2>2064,Human epidermal growth factor receptor 2>2064,epidermal growth factor receptor>1956,EGFR>1956	colorectal cancer>MESH:D015179,Colorectal cancer>MESH:D015179,malignant tumors>MESH:D009369,cancer>MESH:D009369,tumors>MESH:D009369,tumor>MESH:D009369		tyrosine>No Data,lapatinib>MESH:C490728	patients>9606	30513002
CYP2D6>1565,OPRM1>4988,cytochrome p450 2D6>1565	Pain>MESH:D010146,pain>MESH:D010146			patient>9606,patients>9606,Patients>9606	30508992
	epilepsy>MESH:D004827,KD intake on lab abnormalities>MESH:C537014		hydroxybutyrate>MESH:D006885,bicarbonate>MESH:D001639,BIC>MESH:C100119,acyl carnitine>MESH:D002331,selenium>MESH:D012643,magnesium>MESH:D008274,phosphorus>MESH:D010758	patients>9606,children>9606	30500489
	Breast Cancer>MESH:D001943,breast cancer>MESH:D001943,Breast cancer>MESH:D001943,Learning Language Toolkit>MESH:D007859		QCA>MESH:C042218	Patient>9606,patient>9606	30497991
			vancomycin>MESH:D014640,aminoglycosides>MESH:D000617,DOT>MESH:C458779	patients>9606	30496227
	Cancer>MESH:D009369,cancer>MESH:D009369,MUDs>MESH:C531728			patients>9606	30496020
APOE>348	Mendelian disease>MESH:D030342,recessive diseases>MESH:D030342,Alzheimer's disease>MESH:D000544			human>9606,participants>9606,Man>9606	30487145
	cancer>MESH:D009369				30486787
				cattle>9913,sheep>9940,goat>9925,pig>9823	30485756
PDCL>5082,TP53>7157,KRAS>3845,CTNNB1>1499,KDR>3791	cancer>MESH:D009369,Primary liver cancer>MESH:D006528,cancers>MESH:D009369,liver cancer>MESH:D006528,xenograft tumors>MESH:D009369,tumors>MESH:D009369,primary tumors>MESH:D001932			patient>9606	30485423
MAPK13>5603,PANDAR ncRNA>101154753	melanoma>MESH:D008545,cancers>MESH:D009369,demethylated melanomas>MESH:D008545,tumor>MESH:D009369		5-Aza-2'-deoxycytidine>MESH:C014347,DiP>MESH:C076868		30485296
	cognitive decline>MESH:D003072		CGA>MESH:C554042	patients>9606	30484845
Mitogen-activated kinase kinase kinase 1>4214,GLI1>2735,mitogen-activated kinase kinase kinase 1>4214,MEKK1>4214	medulloblastoma>MESH:D008527,tumor>MESH:D009369,malignancies>MESH:D009369,cancer>MESH:D009369		C>MESH:D002244,Nocodazole>MESH:D015739	patients>9606	30483764
